model,interest_rate,loan_amount,loan_term,run_code,expected_answer,actual_answer,question_number
gpt-5,1,300000,15,True,1795.48,1795.48,1
gpt-5,1,300000,15,True,1795.48,1795.48,1
gpt-5,1,300000,15,True,1795.48,1795.48,1
gpt-5,1,300000,15,True,1795.48,1795.48,1
gpt-5,1,300000,15,True,1795.48,1795.48,1
gpt-5,1,300000,15,False,1795.48,1795.48,1
gpt-5,1,300000,15,False,1795.48,1795.48,1
gpt-5,1,300000,15,False,1795.48,1795.48,1
gpt-5,1,300000,15,False,1795.48,1795.48,1
gpt-5,1,300000,15,False,1795.48,1795.48,1
gpt-5,1,300000,30,True,964.92,964.92,1
gpt-5,1,300000,30,True,964.92,964.92,1
gpt-5,1,300000,30,True,964.92,964.92,1
gpt-5,1,300000,30,True,964.92,964.92,1
gpt-5,1,300000,30,True,964.92,964.92,1
gpt-5,1,300000,30,False,964.92,964.92,1
gpt-5,1,300000,30,False,964.92,964.92,1
gpt-5,1,300000,30,False,964.92,964.92,1
gpt-5,1,300000,30,False,964.92,964.92,1
gpt-5,1,300000,30,False,964.92,964.92,1
gpt-5,1,400000,15,True,2393.98,2393.98,1
gpt-5,1,400000,15,True,2393.98,2393.98,1
gpt-5,1,400000,15,True,2393.98,2393.98,1
gpt-5,1,400000,15,True,2393.98,2393.98,1
gpt-5,1,400000,15,True,2393.98,2393.98,1
gpt-5,1,400000,15,False,2393.98,2393.98,1
gpt-5,1,400000,15,False,2393.98,2393.98,1
gpt-5,1,400000,15,False,2393.98,2393.98,1
gpt-5,1,400000,15,False,2393.98,2393.98,1
gpt-5,1,400000,15,False,2393.98,2393.98,1
gpt-5,1,400000,30,True,1286.56,1286.56,1
gpt-5,1,400000,30,True,1286.56,1286.56,1
gpt-5,1,400000,30,True,1286.56,1286.56,1
gpt-5,1,400000,30,True,1286.56,1286.56,1
gpt-5,1,400000,30,True,1286.56,1286.56,1
gpt-5,1,400000,30,False,1286.56,1286.56,1
gpt-5,1,400000,30,False,1286.56,1286.56,1
gpt-5,1,400000,30,False,1286.56,1286.56,1
gpt-5,1,400000,30,False,1286.56,1286.56,1
gpt-5,1,400000,30,False,1286.56,1286.56,1
gpt-5,1,500000,15,True,2992.47,2992.47,1
gpt-5,1,500000,15,True,2992.47,2992.47,1
gpt-5,1,500000,15,True,2992.47,2992.47,1
gpt-5,1,500000,15,True,2992.47,2992.47,1
gpt-5,1,500000,15,True,2992.47,2992.47,1
gpt-5,1,500000,15,False,2992.47,2992.47,1
gpt-5,1,500000,15,False,2992.47,2992.47,1
gpt-5,1,500000,15,False,2992.47,2992.47,1
gpt-5,1,500000,15,False,2992.47,2992.47,1
gpt-5,1,500000,15,False,2992.47,2992.47,1
gpt-5,1,500000,30,True,1608.2,1608.2,1
gpt-5,1,500000,30,True,1608.2,1608.2,1
gpt-5,1,500000,30,True,1608.2,1608.2,1
gpt-5,1,500000,30,True,1608.2,1608.2,1
gpt-5,1,500000,30,True,1608.2,1608.2,1
gpt-5,1,500000,30,False,1608.2,1608.2,1
gpt-5,1,500000,30,False,1608.2,1608.2,1
gpt-5,1,500000,30,False,1608.2,1608.2,1
gpt-5,1,500000,30,False,1608.2,1608.2,1
gpt-5,1,500000,30,False,1608.2,1608.2,1
gpt-5,1,600000,15,True,3590.97,3590.97,1
gpt-5,1,600000,15,True,3590.97,3590.97,1
gpt-5,1,600000,15,True,3590.97,3590.97,1
gpt-5,1,600000,15,True,3590.97,3590.97,1
